Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
LAMPIRAN,,,,,,,,,,,,,,
PERATURAN MENTERI DALAM NEGERI REPUBLIK INDONESIA,,,,,,,,,,,,,,
,,NOMOR,TAHUN,,,,,,,,,,,
,,,TENTANG KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN,,,,,,,,,,,
,,,,,,"B. KODE DAN DATA WILAYAH ADMINISTRASI PEMERINTAHAN PROVINSI, KABUPATEN/KOTA. KECAMATAN DAN DESA/KELURAHAN SELURUH INDONESIA",,,,,,,,
,,,JUMLAH,,,N A M A,/   J U M L A H,,,LUAS,JUMLAH,,,
K O D E,,NAMA PROVINSI /,,,,,,,,WILAYAH,PENDUDUK,K E T E R A N G A N,,
,,KABUPATEN / KOTA,KAB,KOTA,,KECAMATAN,KELURAHAN,,D E S A,(Km2),(Jiwa) *),,,
K O D E,KABUPATEN / KOTA,,,,,,,,,(Km2),(Jiwa) *),,,
,,KAB,KOTA,,KECAMATAN,,KELURAHAN,,D E S A,,,,,
12.01.10.2005,,,,,,,,4,Aek Raso,,,,,
12.01.10.2006,,,,,,,,5,Pasaribu Tobing Jae,,,,,
,,,,,,,,,Suga Suga,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
,,,,,,,,,Hutagodang,,,,,
,,,,,,,,,Suka Maju,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
,,,,,,,,,Makmur,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
,,,,,,,,,Pasaribu Tobing,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
,,,,,,,,,Simargarap,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
,,,,,,,,,Sipakpahi,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
,,,,,,,,,Sidaling,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
12.01.10.2014,,,,,,,,6,Maduma,,,,,
,,,,,,,,,Aek Nadua,,,"Menjadi wil. Kec. Pasaribu Tobing, Perda No.8/2007",,
12.01.10.2016,,,,,,,,7,Sidikalang,,,Perda No. 9/2007,,
12.01.10.2017,,,,,,,,8,Pahieme II,,,Perda No. 9/2007,,
12.01.10.2018,,,,,,,,9,Sorkam Kanan,,,Perda No. 9/2007,,
12.01.10.1019,,,,,,2,Binasi,,,,,"Perda No. 9/2007, Peningkatan status menjadi Kelurahan Perda",,
,,,,,,,,,,,,10/2009,,
12.01.10.2020,,,,,,,,10,Madani,,,Perda 9/2009,,
12.01.11,,,,11,Sirandorung,,1,,7,,,,,
12.01.11.1001,,,,,,1,Bajamas,,,,,"Menjadi Kel., Perda No. 7/2007",,
12.01.11.2002,,,,,,,,1,Sampang Maruhur,,,,,
12.01.11.2003,,,,,,,,2,Siordang,,,Perda No. 6/2002 dan Surat Bup. Tapanuli Tengah No.,,
,,,,,,,,,,,,138/985/2015 tgl 15 April 2015,,
12.01.11.2004,,,,,,,,3,Pardomuan,,,,,
12.01.11.2005,,,,,,,,4,Simpang III Lae,,,,,
,,,,,,,,,Bingke,,,,,
